post_id,title,category,score,num_comments,author,collected_at
47695012,USB for Software Developers: An introduction to writing userspace USB drivers,technology,123,21,WerWolv,2026-04-09 04:37:47
47687273,Git commands I run before reading any code,technology,1697,368,grepsedawk,2026-04-09 04:37:47
47696035,John Deere to pay $99M in right-to-repair settlement,technology,92,22,CharlesW,2026-04-09 04:37:47
47689319,Show HN: Skrun – Deploy any agent skill as an API,technology,37,9,frizull,2026-04-09 04:37:47
47685945,We moved Railway's frontend off Next.js. Builds went from 10+ mins to under 2,technology,163,152,bundie,2026-04-09 04:37:47
47689237,US cities are axing Flock Safety surveillance technology,technology,592,340,giuliomagnifico,2026-04-09 04:37:47
47674606,Show HN: Unicode Steganography,technology,45,11,PatrickVuscan,2026-04-09 04:37:47
47692661,Show HN: TUI-use: Let AI agents control interactive terminal programs,technology,32,33,dreamsome,2026-04-09 04:37:47
47656518,Your File System Is Already A Graph Database,technology,156,71,alxndr,2026-04-09 04:37:47
47695647,The AI Great Leap Forward,technology,68,28,jodah,2026-04-09 04:37:47
47696210,AMD AI director says Claude Code is becoming dumber and lazier since update,technology,21,4,Logans_Run,2026-04-09 04:37:47
47694093,"One item purchased, ten emails",technology,105,86,speckx,2026-04-09 04:37:47
47679121,Project Glasswing: Securing critical software for the AI era,technology,1475,790,Ryan5453,2026-04-09 04:37:47
47624572,A database of analog cameras that can be 3D printed,technology,155,25,thomasjb,2026-04-09 04:37:47
47696600,AI Did It in 12 Minutes. It Took Me 10 Hours to Fix It,technology,8,4,firefoxd,2026-04-09 04:37:47
47689550,"LLM plays an 8-bit Commander X16 game using structured ""smart senses""",technology,15,0,russellharper,2026-04-09 04:37:47
47690415,Show HN: We fingerprinted 178 AI models' writing styles and similarity clusters,technology,72,22,nuancedev,2026-04-09 04:37:47
47672295,Every GPU That Mattered,technology,326,202,jonbaer,2026-04-09 04:37:47
47664836,AI helps add 10k more photos to OldNYC,technology,141,50,evakhoury,2026-04-09 04:37:47
47675625,Cloudflare targets 2029 for full post-quantum security,technology,378,112,ilreb,2026-04-09 04:37:47
47694303,The demise of software engineering jobs has been greatly exaggerated,technology,14,4,ryan_j_naughton,2026-04-09 04:37:47
47687755,Struggle Against the Gods,technology,50,6,marcofloriano,2026-04-09 04:37:47
47692043,Muse Spark: Scaling towards personal superintelligence,worldnews,232,269,chabons,2026-04-09 04:37:47
47677853,GLM-5.1: Towards Long-Horizon Tasks,worldnews,608,250,zixuanlimit,2026-04-09 04:37:47
47680124,IPv6 is the only way forward,worldnews,92,284,quaintdev,2026-04-09 04:37:47
47676557,Moving fast in hardware: lessons from lab to $100M ARR,worldnews,111,26,rryan,2026-04-09 04:37:47
47670981,"Three hundred synths, 3 hardware projects, and one app",worldnews,120,19,ductionist,2026-04-09 04:37:47
47693799,Food shock is inevitable due to the Iran war,worldnews,10,2,measurablefunc,2026-04-09 04:37:47
47690049,Amazon rewards loyal Kindle devotees by closing the book on old e-readers,worldnews,32,21,beardyw,2026-04-09 04:37:47
47692291,"Digital Hopes, Real Power: How the Arab Spring Fueled a Global Surveillance Boom",worldnews,11,0,hn_acker,2026-04-09 04:37:47
47660954,German police name alleged leaders of GandCrab and REvil ransomware groups,worldnews,322,158,Bender,2026-04-09 04:37:47
47629021,Global Physics Photowalk: 2025 winners revealed,worldnews,26,1,ibobev,2026-04-09 04:37:47
47683613,ICE acknowledges it is using powerful spyware,worldnews,65,8,dnemmers,2026-04-09 04:37:47
47662945,Show HN: GovAuctions lets you browse government auctions at once,worldnews,315,89,player_piano,2026-04-09 04:37:47
47677952,The Blueprint of a North Korean Attack on Open-Source,worldnews,29,11,brene,2026-04-09 04:37:47
47647788,The threat is comfortable drift toward not understanding what you're doing,worldnews,974,619,zaikunzhang,2026-04-09 04:37:47
47686058,Inside a huge compound where 10k workers scammed people globally,worldnews,8,0,ece,2026-04-09 04:37:47
47680611,"Iranian hackers launching disruptive attacks at U.S. energy, water targets [pdf]",worldnews,32,6,lschueller,2026-04-09 04:37:47
47675835,Wireless Festival cancelled after government stops Kanye West entering UK,worldnews,13,1,manarth,2026-04-09 04:37:47
